TEST: valid loss  3.16 | valid ppl    23.54
TEST: valid loss  3.22 | valid ppl    25.11
| end of split   1 /  1 | epoch  53 | time:  0.94s | valid loss  1.97 | valid ppl     7.15 | learning rate 0.0625
| end of split   1 /  1 | epoch  54 | time:  1.03s | valid loss  1.97 | valid ppl     7.15 | learning rate 0.0625
| end of split   1 /  1 | epoch  55 | time:  1.05s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  56 | time:  1.29s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  57 | time:  1.00s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  58 | time:  0.96s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  59 | time:  1.00s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0625
| end of split   1 /  1 | epoch  60 | time:  0.94s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  61 | time:  0.99s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  62 | time:  1.13s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  63 | time:  0.98s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  64 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  65 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  66 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  67 | time:  0.96s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  68 | time:  0.94s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  69 | time:  1.03s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  70 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  71 | time:  0.94s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  72 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  73 | time:  0.98s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  74 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  75 | time:  0.91s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  76 | time:  1.07s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  77 | time:  0.94s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  78 | time:  0.94s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  79 | time:  0.92s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  80 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  81 | time:  0.89s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  82 | time:  0.99s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0039
| end of split   1 /  1 | epoch  83 | time:  1.25s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  84 | time:  0.92s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
