| end of split   1 /  1 | epoch  19 | time:  0.60s | valid loss  5.59 | valid ppl   267.15 | learning rate 0.1250
| end of split   1 /  1 | epoch  20 | time:  0.60s | valid loss  5.58 | valid ppl   266.26 | learning rate 0.1250
| end of split   1 /  1 | epoch  21 | time:  0.63s | valid loss  5.58 | valid ppl   266.03 | learning rate 0.1250
| end of split   1 /  1 | epoch  22 | time:  0.60s | valid loss  5.58 | valid ppl   265.45 | learning rate 0.1250
| end of split   1 /  1 | epoch  23 | time:  0.60s | valid loss  5.58 | valid ppl   264.78 | learning rate 0.1250
| end of split   1 /  1 | epoch  24 | time:  0.60s | valid loss  5.57 | valid ppl   263.75 | learning rate 0.1250
| end of split   1 /  1 | epoch  25 | time:  0.61s | valid loss  5.59 | valid ppl   266.77 | learning rate 0.1250
| end of split   1 /  1 | epoch  26 | time:  0.60s | valid loss  5.60 | valid ppl   269.34 | learning rate 0.1250
| end of split   1 /  1 | epoch  27 | time:  0.62s | valid loss  5.59 | valid ppl   269.05 | learning rate 0.1250
| end of split   1 /  1 | epoch  28 | time:  0.62s | valid loss  5.59 | valid ppl   268.35 | learning rate 0.0312
| end of split   1 /  1 | epoch  29 | time:  0.70s | valid loss  5.59 | valid ppl   268.15 | learning rate 0.0312
| end of split   1 /  1 | epoch  30 | time:  0.60s | valid loss  5.59 | valid ppl   267.92 | learning rate 0.0312
TEST: valid loss  5.19 | valid ppl   179.10
| end of split   1 /  1 | epoch   1 | time:  0.92s | valid loss  6.03 | valid ppl   416.55 | learning rate 0.5000
| end of split   1 /  1 | epoch   2 | time:  0.83s | valid loss  5.62 | valid ppl   275.82 | learning rate 0.5000
| end of split   1 /  1 | epoch   3 | time:  0.84s | valid loss  5.59 | valid ppl   266.96 | learning rate 0.5000
| end of split   1 /  1 | epoch   4 | time:  0.81s | valid loss  5.57 | valid ppl   263.19 | learning rate 0.5000
| end of split   1 /  1 | epoch   5 | time:  0.83s | valid loss  5.56 | valid ppl   260.20 | learning rate 0.5000
| end of split   1 /  1 | epoch   6 | time:  0.67s | valid loss  5.59 | valid ppl   266.60 | learning rate 0.5000
| end of split   1 /  1 | epoch   7 | time:  0.69s | valid loss  5.57 | valid ppl   262.66 | learning rate 0.5000
| end of split   1 /  1 | epoch   8 | time:  0.68s | valid loss  5.60 | valid ppl   270.22 | learning rate 0.5000
