| end of split   1 /  1 | epoch  56 | time:  1.11s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0625
| end of split   1 /  1 | epoch  57 | time:  0.80s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  58 | time:  0.78s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  59 | time:  0.76s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  60 | time:  0.76s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  61 | time:  0.77s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  62 | time:  0.77s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  63 | time:  0.78s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  64 | time:  0.97s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  65 | time:  0.78s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  66 | time:  0.77s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  67 | time:  0.78s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0156
| end of split   1 /  1 | epoch  68 | time:  0.78s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  69 | time:  0.77s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  70 | time:  0.94s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  71 | time:  0.76s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  72 | time:  0.76s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  73 | time:  0.77s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  74 | time:  0.77s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  75 | time:  0.76s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  76 | time:  0.77s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  77 | time:  0.74s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  78 | time:  0.77s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0039
| end of split   1 /  1 | epoch  79 | time:  0.76s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  80 | time:  0.75s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  81 | time:  0.76s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  82 | time:  0.75s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  83 | time:  1.00s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  84 | time:  0.82s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  85 | time:  0.81s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  86 | time:  0.81s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  87 | time:  0.80s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  88 | time:  0.79s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  89 | time:  0.79s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0010
| end of split   1 /  1 | epoch  90 | time:  1.11s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  91 | time:  0.86s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  92 | time:  0.83s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  93 | time:  1.10s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  94 | time:  0.89s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  95 | time:  1.14s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  96 | time:  0.82s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  97 | time:  0.85s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  98 | time:  0.79s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch  99 | time:  0.83s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch 100 | time:  0.94s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0002
| end of split   1 /  1 | epoch 101 | time:  0.93s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 102 | time:  0.88s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 103 | time:  0.75s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 104 | time:  0.96s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 105 | time:  0.87s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 106 | time:  0.85s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 107 | time:  0.91s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 108 | time:  0.82s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 109 | time:  0.82s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 110 | time:  0.92s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 111 | time:  0.82s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0001
| end of split   1 /  1 | epoch 112 | time:  0.84s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
| end of split   1 /  1 | epoch 113 | time:  0.86s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
| end of split   1 /  1 | epoch 114 | time:  0.84s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
| end of split   1 /  1 | epoch 115 | time:  0.89s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
| end of split   1 /  1 | epoch 116 | time:  0.82s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
| end of split   1 /  1 | epoch 117 | time:  0.85s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
| end of split   1 /  1 | epoch 118 | time:  0.83s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
| end of split   1 /  1 | epoch 119 | time:  0.81s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
| end of split   1 /  1 | epoch 120 | time:  0.78s | valid loss  1.57 | valid ppl     4.80 | learning rate 0.0000
TEST: valid loss  1.53 | valid ppl     4.60
