| end of split   1 /  1 | epoch  56 | time:  0.81s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0625
| end of split   1 /  1 | epoch  57 | time:  0.80s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0625
| end of split   1 /  1 | epoch  58 | time:  0.76s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0625
| end of split   1 /  1 | epoch  59 | time:  0.76s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0625
| end of split   1 /  1 | epoch  60 | time:  0.83s | valid loss  1.76 | valid ppl     5.84 | learning rate 0.0625
| end of split   1 /  1 | epoch  61 | time:  0.90s | valid loss  1.76 | valid ppl     5.84 | learning rate 0.0625
| end of split   1 /  1 | epoch  62 | time:  0.85s | valid loss  1.76 | valid ppl     5.84 | learning rate 0.0625
| end of split   1 /  1 | epoch  63 | time:  0.97s | valid loss  1.76 | valid ppl     5.83 | learning rate 0.0625
| end of split   1 /  1 | epoch  64 | time:  0.82s | valid loss  1.76 | valid ppl     5.84 | learning rate 0.0625
| end of split   1 /  1 | epoch  65 | time:  0.87s | valid loss  1.76 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  66 | time:  0.82s | valid loss  1.76 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  67 | time:  0.80s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  68 | time:  0.80s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  69 | time:  0.81s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  70 | time:  0.75s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  71 | time:  1.15s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  72 | time:  0.95s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  73 | time:  0.80s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  74 | time:  0.74s | valid loss  1.77 | valid ppl     5.84 | learning rate 0.0156
| end of split   1 /  1 | epoch  75 | time:  1.00s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0156
