| end of split   3 /  7 | epoch   8 | time:  0.59s | valid loss  6.19 | valid ppl   486.83 | learning rate 0.3125
| end of split   4 /  7 | epoch   8 | time:  0.59s | valid loss  6.19 | valid ppl   486.81 | learning rate 0.3125
| end of split   5 /  7 | epoch   8 | time:  0.60s | valid loss  6.19 | valid ppl   486.46 | learning rate 0.3125
| end of split   6 /  7 | epoch   8 | time:  0.59s | valid loss  6.19 | valid ppl   486.51 | learning rate 0.3125
| end of split   7 /  7 | epoch   8 | time:  0.59s | valid loss  6.19 | valid ppl   486.52 | learning rate 0.0781
| end of split   1 /  7 | epoch   9 | time:  0.59s | valid loss  6.19 | valid ppl   486.53 | learning rate 0.0781
| end of split   2 /  7 | epoch   9 | time:  0.59s | valid loss  6.19 | valid ppl   486.86 | learning rate 0.0781
| end of split   3 /  7 | epoch   9 | time:  0.60s | valid loss  6.19 | valid ppl   487.23 | learning rate 0.0781
| end of split   4 /  7 | epoch   9 | time:  0.59s | valid loss  6.19 | valid ppl   487.21 | learning rate 0.0781
| end of split   5 /  7 | epoch   9 | time:  0.78s | valid loss  6.19 | valid ppl   487.22 | learning rate 0.0781
| end of split   6 /  7 | epoch   9 | time:  0.59s | valid loss  6.19 | valid ppl   487.28 | learning rate 0.0781
| end of split   7 /  7 | epoch   9 | time:  0.60s | valid loss  6.19 | valid ppl   487.30 | learning rate 0.0781
| end of split   1 /  7 | epoch  10 | time:  0.61s | valid loss  6.19 | valid ppl   487.28 | learning rate 0.0781
| end of split   2 /  7 | epoch  10 | time:  0.60s | valid loss  6.19 | valid ppl   487.32 | learning rate 0.0781
| end of split   3 /  7 | epoch  10 | time:  0.60s | valid loss  6.19 | valid ppl   487.76 | learning rate 0.0781
| end of split   4 /  7 | epoch  10 | time:  0.59s | valid loss  6.19 | valid ppl   487.75 | learning rate 0.0195
| end of split   5 /  7 | epoch  10 | time:  0.59s | valid loss  6.19 | valid ppl   487.75 | learning rate 0.0195
| end of split   6 /  7 | epoch  10 | time:  0.61s | valid loss  6.19 | valid ppl   487.79 | learning rate 0.0195
| end of split   7 /  7 | epoch  10 | time:  0.60s | valid loss  6.19 | valid ppl   487.97 | learning rate 0.0195
| end of split   1 /  7 | epoch  11 | time:  0.65s | valid loss  6.19 | valid ppl   487.99 | learning rate 0.0195
| end of split   2 /  7 | epoch  11 | time:  0.65s | valid loss  6.19 | valid ppl   488.07 | learning rate 0.0195
| end of split   3 /  7 | epoch  11 | time:  0.59s | valid loss  6.19 | valid ppl   488.06 | learning rate 0.0195
| end of split   4 /  7 | epoch  11 | time:  0.60s | valid loss  6.19 | valid ppl   488.18 | learning rate 0.0195
| end of split   5 /  7 | epoch  11 | time:  0.59s | valid loss  6.19 | valid ppl   488.18 | learning rate 0.0195
| end of split   6 /  7 | epoch  11 | time:  0.61s | valid loss  6.19 | valid ppl   488.32 | learning rate 0.0195
