TEST: valid loss  2.52 | valid ppl    12.40
TEST: valid loss  1.81 | valid ppl     6.12
| end of split   1 /  1 | epoch  55 | time:  0.60s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0781
| end of split   1 /  1 | epoch  56 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0781
| end of split   1 /  1 | epoch  57 | time:  0.64s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  58 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  59 | time:  0.59s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  60 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  61 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  62 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  63 | time:  0.59s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  64 | time:  0.60s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  65 | time:  0.60s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  66 | time:  0.60s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  67 | time:  0.61s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0195
| end of split   1 /  1 | epoch  68 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  69 | time:  0.60s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  70 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  71 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  72 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  73 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  74 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  75 | time:  0.56s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  76 | time:  0.58s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  77 | time:  0.67s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  78 | time:  0.56s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0049
| end of split   1 /  1 | epoch  79 | time:  0.58s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  80 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  81 | time:  0.59s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  82 | time:  0.58s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  83 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  84 | time:  0.57s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  85 | time:  0.60s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  86 | time:  0.61s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  87 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  88 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  89 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0012
| end of split   1 /  1 | epoch  90 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  91 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  92 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  93 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  94 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  95 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  96 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  97 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  98 | time:  0.56s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch  99 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch 100 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0003
| end of split   1 /  1 | epoch 101 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 102 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 103 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 104 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 105 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 106 | time:  0.59s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 107 | time:  0.58s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 108 | time:  0.57s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 109 | time:  0.58s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 110 | time:  0.58s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 111 | time:  0.58s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0001
| end of split   1 /  1 | epoch 112 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 113 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 114 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 115 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 116 | time:  0.59s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 117 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 118 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 119 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 120 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 121 | time:  0.65s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 122 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 123 | time:  0.56s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 124 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 125 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 126 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 127 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 128 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 129 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 130 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 131 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 132 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 133 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 134 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 135 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 136 | time:  0.56s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 137 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 138 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 139 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 140 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 141 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 142 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 143 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 144 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 145 | time:  0.58s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 146 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 147 | time:  0.65s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 148 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 149 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 150 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 151 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 152 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 153 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 154 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 155 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 156 | time:  0.64s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 157 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 158 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 159 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 160 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 161 | time:  0.53s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 162 | time:  0.56s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 163 | time:  0.55s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 164 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 165 | time:  0.54s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 166 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 167 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 168 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 169 | time:  0.62s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 170 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 171 | time:  0.64s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 172 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 173 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 174 | time:  0.64s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 175 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
| end of split   1 /  1 | epoch 176 | time:  0.63s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.0000
