TEST: valid loss  2.05 | valid ppl     7.81
TEST: valid loss  4.14 | valid ppl    62.72
| end of split   1 /  1 | epoch  55 | time:  1.99s | valid loss  1.22 | valid ppl     3.39 | learning rate 1.2500
| end of split   1 /  1 | epoch  56 | time:  1.58s | valid loss  1.23 | valid ppl     3.41 | learning rate 1.2500
| end of split   1 /  1 | epoch  57 | time:  1.79s | valid loss  1.22 | valid ppl     3.38 | learning rate 0.3125
| end of split   1 /  1 | epoch  58 | time:  1.76s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  59 | time:  1.54s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  60 | time:  1.89s | valid loss  1.22 | valid ppl     3.38 | learning rate 0.3125
| end of split   1 /  1 | epoch  61 | time:  1.45s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  62 | time:  0.96s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  63 | time:  0.97s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  64 | time:  1.54s | valid loss  1.22 | valid ppl     3.38 | learning rate 0.3125
| end of split   1 /  1 | epoch  65 | time:  1.89s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  66 | time:  1.67s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  67 | time:  1.65s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  68 | time:  1.84s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  69 | time:  1.76s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  70 | time:  1.86s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  71 | time:  1.89s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  72 | time:  1.68s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  73 | time:  1.68s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  74 | time:  1.03s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  75 | time:  0.94s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  76 | time:  0.89s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  77 | time:  1.42s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  78 | time:  1.87s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  79 | time:  1.83s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  80 | time:  1.46s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  81 | time:  1.74s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  82 | time:  2.12s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  83 | time:  1.65s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  84 | time:  2.07s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  85 | time:  1.83s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  86 | time:  1.22s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  87 | time:  0.90s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  88 | time:  0.90s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  89 | time:  0.91s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0195
| end of split   1 /  1 | epoch  90 | time:  1.47s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0049
| end of split   1 /  1 | epoch  91 | time:  1.70s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0049
| end of split   1 /  1 | epoch  92 | time:  1.88s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0049
| end of split   1 /  1 | epoch  93 | time:  1.94s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0049
| end of split   1 /  1 | epoch  94 | time:  1.78s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0049
| end of split   1 /  1 | epoch  95 | time:  2.01s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0049
| end of split   1 /  1 | epoch  96 | time:  2.02s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0049
TEST: valid loss  1.15 | valid ppl     3.15
