TEST: valid loss  4.36 | valid ppl    78.56
TEST: valid loss  3.60 | valid ppl    36.43
TEST: valid loss  6.86 | valid ppl   953.06
| end of split   1 /  1 | epoch  28 | time:  0.97s | valid loss  1.98 | valid ppl     7.25 | learning rate 1.0000
| end of split   1 /  1 | epoch  29 | time:  0.93s | valid loss  1.97 | valid ppl     7.19 | learning rate 1.0000
| end of split   1 /  1 | epoch  30 | time:  1.29s | valid loss  1.97 | valid ppl     7.15 | learning rate 1.0000
| end of split   1 /  1 | epoch  31 | time:  0.90s | valid loss  1.97 | valid ppl     7.18 | learning rate 1.0000
| end of split   1 /  1 | epoch  32 | time:  1.01s | valid loss  1.97 | valid ppl     7.16 | learning rate 1.0000
| end of split   1 /  1 | epoch  33 | time:  0.92s | valid loss  1.97 | valid ppl     7.16 | learning rate 1.0000
| end of split   1 /  1 | epoch  34 | time:  1.04s | valid loss  1.97 | valid ppl     7.14 | learning rate 1.0000
| end of split   1 /  1 | epoch  35 | time:  0.97s | valid loss  1.97 | valid ppl     7.20 | learning rate 1.0000
| end of split   1 /  1 | epoch  36 | time:  0.95s | valid loss  1.97 | valid ppl     7.17 | learning rate 1.0000
| end of split   1 /  1 | epoch  37 | time:  0.95s | valid loss  1.98 | valid ppl     7.21 | learning rate 1.0000
| end of split   1 /  1 | epoch  38 | time:  0.98s | valid loss  1.98 | valid ppl     7.22 | learning rate 1.0000
| end of split   1 /  1 | epoch  39 | time:  0.92s | valid loss  1.98 | valid ppl     7.25 | learning rate 1.0000
| end of split   1 /  1 | epoch  40 | time:  0.97s | valid loss  1.97 | valid ppl     7.17 | learning rate 1.0000
| end of split   1 /  1 | epoch  41 | time:  0.93s | valid loss  1.97 | valid ppl     7.16 | learning rate 1.0000
| end of split   1 /  1 | epoch  42 | time:  1.10s | valid loss  1.98 | valid ppl     7.25 | learning rate 1.0000
| end of split   1 /  1 | epoch  43 | time:  0.93s | valid loss  1.97 | valid ppl     7.18 | learning rate 1.0000
| end of split   1 /  1 | epoch  44 | time:  0.94s | valid loss  1.97 | valid ppl     7.18 | learning rate 1.0000
| end of split   1 /  1 | epoch  45 | time:  0.97s | valid loss  1.97 | valid ppl     7.19 | learning rate 1.0000
| end of split   1 /  1 | epoch  46 | time:  1.07s | valid loss  1.96 | valid ppl     7.13 | learning rate 0.2500
| end of split   1 /  1 | epoch  47 | time:  0.93s | valid loss  1.97 | valid ppl     7.15 | learning rate 0.2500
| end of split   1 /  1 | epoch  48 | time:  0.96s | valid loss  1.97 | valid ppl     7.19 | learning rate 0.2500
| end of split   1 /  1 | epoch  49 | time:  0.95s | valid loss  1.97 | valid ppl     7.19 | learning rate 0.2500
| end of split   1 /  1 | epoch  50 | time:  0.99s | valid loss  1.97 | valid ppl     7.19 | learning rate 0.2500
| end of split   1 /  1 | epoch  51 | time:  0.88s | valid loss  1.97 | valid ppl     7.19 | learning rate 0.2500
| end of split   1 /  1 | epoch  52 | time:  1.12s | valid loss  1.97 | valid ppl     7.21 | learning rate 0.2500
| end of split   1 /  1 | epoch  53 | time:  0.93s | valid loss  1.98 | valid ppl     7.22 | learning rate 0.2500
| end of split   1 /  1 | epoch  54 | time:  0.85s | valid loss  1.98 | valid ppl     7.23 | learning rate 0.2500
| end of split   1 /  1 | epoch  55 | time:  0.99s | valid loss  1.98 | valid ppl     7.23 | learning rate 0.2500
| end of split   1 /  1 | epoch  56 | time:  1.12s | valid loss  1.98 | valid ppl     7.23 | learning rate 0.2500
