| end of split   1 /  1 | epoch  46 | time:  1.04s | valid loss  2.28 | valid ppl     9.81 | learning rate 1.0000
| end of split   1 /  1 | epoch  47 | time:  1.00s | valid loss  2.26 | valid ppl     9.60 | learning rate 1.0000
| end of split   1 /  1 | epoch  48 | time:  0.91s | valid loss  2.28 | valid ppl     9.80 | learning rate 1.0000
| end of split   1 /  1 | epoch  49 | time:  1.09s | valid loss  2.28 | valid ppl     9.74 | learning rate 1.0000
| end of split   1 /  1 | epoch  50 | time:  1.15s | valid loss  2.23 | valid ppl     9.31 | learning rate 1.0000
| end of split   1 /  1 | epoch  51 | time:  1.11s | valid loss  2.23 | valid ppl     9.29 | learning rate 1.0000
| end of split   1 /  1 | epoch  52 | time:  1.07s | valid loss  2.20 | valid ppl     9.06 | learning rate 1.0000
| end of split   1 /  1 | epoch  53 | time:  1.12s | valid loss  2.20 | valid ppl     9.05 | learning rate 1.0000
| end of split   1 /  1 | epoch  54 | time:  1.05s | valid loss  2.20 | valid ppl     9.01 | learning rate 1.0000
| end of split   1 /  1 | epoch  55 | time:  0.92s | valid loss  2.18 | valid ppl     8.83 | learning rate 1.0000
| end of split   1 /  1 | epoch  56 | time:  0.97s | valid loss  2.18 | valid ppl     8.82 | learning rate 1.0000
| end of split   1 /  1 | epoch  57 | time:  0.92s | valid loss  2.17 | valid ppl     8.80 | learning rate 1.0000
| end of split   1 /  1 | epoch  58 | time:  1.13s | valid loss  2.16 | valid ppl     8.68 | learning rate 1.0000
| end of split   1 /  1 | epoch  59 | time:  1.04s | valid loss  2.17 | valid ppl     8.79 | learning rate 1.0000
| end of split   1 /  1 | epoch  60 | time:  1.01s | valid loss  2.13 | valid ppl     8.45 | learning rate 1.0000
| end of split   1 /  1 | epoch  61 | time:  0.90s | valid loss  2.13 | valid ppl     8.41 | learning rate 1.0000
| end of split   1 /  1 | epoch  62 | time:  0.93s | valid loss  2.12 | valid ppl     8.36 | learning rate 1.0000
