| end of split   4 /  4 | epoch  14 | time:  0.86s | valid loss  2.92 | valid ppl    18.54 | learning rate 20.0000
| end of split   1 /  4 | epoch  15 | time:  0.94s | valid loss  2.90 | valid ppl    18.16 | learning rate 20.0000
| end of split   2 /  4 | epoch  15 | time:  0.90s | valid loss  3.05 | valid ppl    21.06 | learning rate 20.0000
| end of split   3 /  4 | epoch  15 | time:  0.83s | valid loss  2.79 | valid ppl    16.23 | learning rate 20.0000
| end of split   4 /  4 | epoch  15 | time:  0.97s | valid loss  2.89 | valid ppl    17.98 | learning rate 20.0000
| end of split   1 /  4 | epoch  16 | time:  0.92s | valid loss  2.92 | valid ppl    18.60 | learning rate 20.0000
| end of split   2 /  4 | epoch  16 | time:  0.84s | valid loss  3.07 | valid ppl    21.49 | learning rate 20.0000
| end of split   3 /  4 | epoch  16 | time:  0.89s | valid loss  3.01 | valid ppl    20.31 | learning rate 20.0000
| end of split   4 /  4 | epoch  16 | time:  0.93s | valid loss  2.89 | valid ppl    17.92 | learning rate 20.0000
| end of split   1 /  4 | epoch  17 | time:  0.85s | valid loss  2.82 | valid ppl    16.81 | learning rate 20.0000
| end of split   2 /  4 | epoch  17 | time:  0.93s | valid loss  2.86 | valid ppl    17.38 | learning rate 20.0000
| end of split   3 /  4 | epoch  17 | time:  1.10s | valid loss  2.65 | valid ppl    14.14 | learning rate 5.0000
| end of split   4 /  4 | epoch  17 | time:  1.11s | valid loss  2.59 | valid ppl    13.38 | learning rate 5.0000
| end of split   1 /  4 | epoch  18 | time:  1.09s | valid loss  2.56 | valid ppl    12.98 | learning rate 5.0000
| end of split   2 /  4 | epoch  18 | time:  0.94s | valid loss  2.57 | valid ppl    13.06 | learning rate 5.0000
| end of split   3 /  4 | epoch  18 | time:  0.96s | valid loss  2.61 | valid ppl    13.56 | learning rate 5.0000
| end of split   4 /  4 | epoch  18 | time:  1.06s | valid loss  2.51 | valid ppl    12.36 | learning rate 5.0000
| end of split   1 /  4 | epoch  19 | time:  0.98s | valid loss  2.83 | valid ppl    16.98 | learning rate 5.0000
| end of split   2 /  4 | epoch  19 | time:  1.07s | valid loss  2.51 | valid ppl    12.26 | learning rate 5.0000
| end of split   3 /  4 | epoch  19 | time:  0.94s | valid loss  2.56 | valid ppl    12.95 | learning rate 5.0000
| end of split   4 /  4 | epoch  19 | time:  0.87s | valid loss  2.53 | valid ppl    12.59 | learning rate 5.0000
| end of split   1 /  4 | epoch  20 | time:  1.17s | valid loss  2.57 | valid ppl    13.01 | learning rate 5.0000
| end of split   2 /  4 | epoch  20 | time:  0.88s | valid loss  2.54 | valid ppl    12.65 | learning rate 5.0000
| end of split   3 /  4 | epoch  20 | time:  0.75s | valid loss  2.54 | valid ppl    12.66 | learning rate 5.0000
| end of split   4 /  4 | epoch  20 | time:  1.14s | valid loss  2.58 | valid ppl    13.25 | learning rate 5.0000
| end of split   1 /  4 | epoch  21 | time:  0.78s | valid loss  2.52 | valid ppl    12.47 | learning rate 5.0000
| end of split   2 /  4 | epoch  21 | time:  1.12s | valid loss  2.63 | valid ppl    13.94 | learning rate 5.0000
| end of split   3 /  4 | epoch  21 | time:  1.08s | valid loss  2.58 | valid ppl    13.24 | learning rate 5.0000
| end of split   4 /  4 | epoch  21 | time:  0.98s | valid loss  2.53 | valid ppl    12.53 | learning rate 5.0000
| end of split   1 /  4 | epoch  22 | time:  0.93s | valid loss  2.59 | valid ppl    13.32 | learning rate 5.0000
| end of split   2 /  4 | epoch  22 | time:  1.12s | valid loss  2.47 | valid ppl    11.81 | learning rate 1.2500
| end of split   3 /  4 | epoch  22 | time:  1.13s | valid loss  2.43 | valid ppl    11.33 | learning rate 1.2500
| end of split   4 /  4 | epoch  22 | time:  1.02s | valid loss  2.42 | valid ppl    11.29 | learning rate 1.2500
| end of split   1 /  4 | epoch  23 | time:  1.09s | valid loss  2.42 | valid ppl    11.19 | learning rate 1.2500
| end of split   2 /  4 | epoch  23 | time:  0.90s | valid loss  2.45 | valid ppl    11.54 | learning rate 1.2500
| end of split   3 /  4 | epoch  23 | time:  0.98s | valid loss  2.43 | valid ppl    11.37 | learning rate 1.2500
| end of split   4 /  4 | epoch  23 | time:  0.88s | valid loss  2.42 | valid ppl    11.30 | learning rate 1.2500
| end of split   1 /  4 | epoch  24 | time:  1.06s | valid loss  2.41 | valid ppl    11.09 | learning rate 1.2500
| end of split   2 /  4 | epoch  24 | time:  0.90s | valid loss  2.44 | valid ppl    11.44 | learning rate 1.2500
| end of split   3 /  4 | epoch  24 | time:  0.95s | valid loss  2.44 | valid ppl    11.47 | learning rate 1.2500
| end of split   4 /  4 | epoch  24 | time:  0.83s | valid loss  2.43 | valid ppl    11.41 | learning rate 1.2500
| end of split   1 /  4 | epoch  25 | time:  1.00s | valid loss  2.48 | valid ppl    11.99 | learning rate 1.2500
| end of split   2 /  4 | epoch  25 | time:  0.83s | valid loss  2.45 | valid ppl    11.60 | learning rate 1.2500
| end of split   3 /  4 | epoch  25 | time:  1.23s | valid loss  2.40 | valid ppl    11.06 | learning rate 1.2500
| end of split   4 /  4 | epoch  25 | time:  0.83s | valid loss  2.41 | valid ppl    11.10 | learning rate 1.2500
| end of split   1 /  4 | epoch  26 | time:  1.03s | valid loss  2.42 | valid ppl    11.21 | learning rate 1.2500
| end of split   2 /  4 | epoch  26 | time:  0.93s | valid loss  2.45 | valid ppl    11.58 | learning rate 1.2500
| end of split   3 /  4 | epoch  26 | time:  0.91s | valid loss  2.41 | valid ppl    11.17 | learning rate 1.2500
| end of split   4 /  4 | epoch  26 | time:  0.90s | valid loss  2.43 | valid ppl    11.38 | learning rate 1.2500
| end of split   1 /  4 | epoch  27 | time:  0.92s | valid loss  2.43 | valid ppl    11.37 | learning rate 1.2500
| end of split   2 /  4 | epoch  27 | time:  0.89s | valid loss  2.46 | valid ppl    11.70 | learning rate 1.2500
| end of split   3 /  4 | epoch  27 | time:  0.93s | valid loss  2.46 | valid ppl    11.69 | learning rate 1.2500
| end of split   4 /  4 | epoch  27 | time:  0.84s | valid loss  2.45 | valid ppl    11.59 | learning rate 1.2500
| end of split   1 /  4 | epoch  28 | time:  0.84s | valid loss  2.45 | valid ppl    11.61 | learning rate 1.2500
| end of split   2 /  4 | epoch  28 | time:  0.93s | valid loss  2.49 | valid ppl    12.11 | learning rate 1.2500
| end of split   3 /  4 | epoch  28 | time:  0.89s | valid loss  2.46 | valid ppl    11.73 | learning rate 0.3125
| end of split   4 /  4 | epoch  28 | time:  1.11s | valid loss  2.41 | valid ppl    11.19 | learning rate 0.3125
| end of split   1 /  4 | epoch  29 | time:  0.94s | valid loss  2.42 | valid ppl    11.20 | learning rate 0.3125
| end of split   2 /  4 | epoch  29 | time:  0.97s | valid loss  2.43 | valid ppl    11.40 | learning rate 0.3125
| end of split   3 /  4 | epoch  29 | time:  0.89s | valid loss  2.43 | valid ppl    11.40 | learning rate 0.3125
| end of split   4 /  4 | epoch  29 | time:  0.97s | valid loss  2.41 | valid ppl    11.14 | learning rate 0.3125
| end of split   1 /  4 | epoch  30 | time:  0.90s | valid loss  2.41 | valid ppl    11.17 | learning rate 0.3125
| end of split   2 /  4 | epoch  30 | time:  0.92s | valid loss  2.43 | valid ppl    11.33 | learning rate 0.3125
| end of split   3 /  4 | epoch  30 | time:  0.92s | valid loss  2.41 | valid ppl    11.12 | learning rate 0.3125
| end of split   4 /  4 | epoch  30 | time:  0.76s | valid loss  2.41 | valid ppl    11.14 | learning rate 0.3125
| end of split   1 /  4 | epoch  31 | time:  0.89s | valid loss  2.41 | valid ppl    11.17 | learning rate 0.3125
| end of split   2 /  4 | epoch  31 | time:  0.93s | valid loss  2.42 | valid ppl    11.20 | learning rate 0.0781
| end of split   3 /  4 | epoch  31 | time:  0.89s | valid loss  2.41 | valid ppl    11.18 | learning rate 0.0781
| end of split   4 /  4 | epoch  31 | time:  0.91s | valid loss  2.41 | valid ppl    11.15 | learning rate 0.0781
| end of split   1 /  4 | epoch  32 | time:  0.94s | valid loss  2.42 | valid ppl    11.19 | learning rate 0.0781
| end of split   2 /  4 | epoch  32 | time:  0.89s | valid loss  2.41 | valid ppl    11.17 | learning rate 0.0781
| end of split   3 /  4 | epoch  32 | time:  0.92s | valid loss  2.41 | valid ppl    11.14 | learning rate 0.0781
| end of split   4 /  4 | epoch  32 | time:  0.82s | valid loss  2.41 | valid ppl    11.14 | learning rate 0.0781
| end of split   1 /  4 | epoch  33 | time:  0.95s | valid loss  2.41 | valid ppl    11.14 | learning rate 0.0781
| end of split   2 /  4 | epoch  33 | time:  0.99s | valid loss  2.41 | valid ppl    11.18 | learning rate 0.0781
| end of split   3 /  4 | epoch  33 | time:  0.80s | valid loss  2.41 | valid ppl    11.19 | learning rate 0.0781
| end of split   4 /  4 | epoch  33 | time:  1.13s | valid loss  2.41 | valid ppl    11.15 | learning rate 0.0781
| end of split   1 /  4 | epoch  34 | time:  0.98s | valid loss  2.41 | valid ppl    11.14 | learning rate 0.0195
| end of split   2 /  4 | epoch  34 | time:  0.87s | valid loss  2.41 | valid ppl    11.14 | learning rate 0.0195
| end of split   3 /  4 | epoch  34 | time:  0.98s | valid loss  2.41 | valid ppl    11.15 | learning rate 0.0195
| end of split   4 /  4 | epoch  34 | time:  0.96s | valid loss  2.41 | valid ppl    11.15 | learning rate 0.0195
| end of split   1 /  4 | epoch  35 | time:  0.87s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0195
| end of split   2 /  4 | epoch  35 | time:  1.03s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0195
| end of split   3 /  4 | epoch  35 | time:  0.87s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0195
| end of split   4 /  4 | epoch  35 | time:  0.95s | valid loss  2.41 | valid ppl    11.15 | learning rate 0.0195
| end of split   1 /  4 | epoch  36 | time:  0.89s | valid loss  2.41 | valid ppl    11.15 | learning rate 0.0195
| end of split   2 /  4 | epoch  36 | time:  1.00s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0195
| end of split   3 /  4 | epoch  36 | time:  0.96s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0195
| end of split   4 /  4 | epoch  36 | time:  0.92s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   1 /  4 | epoch  37 | time:  0.94s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   2 /  4 | epoch  37 | time:  0.95s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   3 /  4 | epoch  37 | time:  0.93s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   4 /  4 | epoch  37 | time:  0.83s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   1 /  4 | epoch  38 | time:  0.95s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   2 /  4 | epoch  38 | time:  0.89s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   3 /  4 | epoch  38 | time:  0.98s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
