TEST: valid loss  4.45 | valid ppl    85.46
TEST: valid loss  3.71 | valid ppl    41.00
| end of split   1 /  1 | epoch  77 | time:  0.62s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0195
| end of split   1 /  1 | epoch  78 | time:  0.62s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  79 | time:  0.53s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  80 | time:  0.52s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  81 | time:  0.52s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  82 | time:  0.52s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  83 | time:  0.52s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  84 | time:  0.52s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  85 | time:  0.54s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  86 | time:  0.53s | valid loss  2.75 | valid ppl    15.68 | learning rate 0.0049
| end of split   1 /  1 | epoch  87 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0049
| end of split   1 /  1 | epoch  88 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0049
| end of split   1 /  1 | epoch  89 | time:  0.64s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  90 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  91 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  92 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  93 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  94 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  95 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  96 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  97 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  98 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch  99 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0012
| end of split   1 /  1 | epoch 100 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 101 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 102 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 103 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 104 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 105 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 106 | time:  0.54s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 107 | time:  0.54s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 108 | time:  0.57s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 109 | time:  0.56s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 110 | time:  0.54s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0003
| end of split   1 /  1 | epoch 111 | time:  0.54s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 112 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 113 | time:  0.59s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 114 | time:  0.55s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 115 | time:  0.60s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 116 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 117 | time:  0.54s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 118 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 119 | time:  0.56s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 120 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
| end of split   1 /  1 | epoch 121 | time:  0.54s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0001
