EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
27	09:17:36	2	1.0000	0.8053619871378488	0.7552	0.7552	0.7552	0.7552	1.1319749355316162	0.6845	0.6845	0.6845	0.6845	0.6312459707260132	0.7809	0.7809	0.7809	0.7809
28	09:17:40	3	1.0000	0.7727448969604214	0.8587	0.8587	0.8587	0.8587	0.8569027781486511	0.756	0.756	0.756	0.756	0.4313182532787323	0.8482	0.8482	0.8482	0.8482
29	09:17:43	4	1.0000	0.7432199256566772	0.8524	0.8524	0.8524	0.8524	0.9438354969024658	0.7421	0.7421	0.7421	0.7421	0.39473778009414673	0.8677	0.8677	0.8677	0.8677
30	09:17:47	1	0.5000	0.6758294941895644	0.8633	0.8633	0.8633	0.8633	0.8311593532562256	0.756	0.756	0.756	0.756	0.4099959135055542	0.8677	0.8677	0.8677	0.8677
31	09:17:51	2	0.5000	0.6206114749430524	0.8888	0.8888	0.8888	0.8888	0.7665562033653259	0.7698	0.7698	0.7698	0.7698	0.36468544602394104	0.872	0.872	0.872	0.872
32	09:17:54	3	0.5000	0.6310353064048263	0.8796	0.8796	0.8796	0.8796	0.8235301971435547	0.756	0.756	0.756	0.756	0.3918130099773407	0.8438	0.8438	0.8438	0.8438
33	09:17:58	0	0.5000	0.6169782842753417	0.8875	0.8875	0.8875	0.8875	0.7755032777786255	0.7778	0.7778	0.7778	0.7778	0.38760408759117126	0.8568	0.8568	0.8568	0.8568
34	09:18:08	1	0.5000	0.6074733447376851	0.8763	0.8763	0.8763	0.8763	0.8391780853271484	0.7758	0.7758	0.7758	0.7758	0.36193782091140747	0.8785	0.8785	0.8785	0.8785
35	09:18:12	0	0.5000	0.5901776220369448	0.8982	0.8982	0.8982	0.8982	0.7405247092247009	0.7897	0.7897	0.7897	0.7897	0.352657288312912	0.8742	0.8742	0.8742	0.8742
36	09:18:25	0	0.5000	0.5639757438781321	0.8979	0.8979	0.8979	0.8979	0.7980469465255737	0.7996	0.7996	0.7996	0.7996	0.31662338972091675	0.8872	0.8872	0.8872	0.8872
37	09:18:35	1	0.5000	0.5422713364446896	0.8964	0.8964	0.8964	0.8964	0.7931567430496216	0.7877	0.7877	0.7877	0.7877	0.2963719069957733	0.8937	0.8937	0.8937	0.8937
38	09:18:39	2	0.5000	0.5738930530591543	0.9127	0.9127	0.9127	0.9127	0.8237584829330444	0.7897	0.7897	0.7897	0.7897	0.3058827817440033	0.8894	0.8894	0.8894	0.8894
39	09:18:42	3	0.5000	0.5646454065970244	0.9117	0.9117	0.9117	0.9117	0.8050400614738464	0.7758	0.7758	0.7758	0.7758	0.31168296933174133	0.885	0.885	0.885	0.885
40	09:18:45	0	0.5000	0.5224201732453019	0.917	0.917	0.917	0.917	0.8156448006629944	0.8036	0.8036	0.8036	0.8036	0.28116658329963684	0.9046	0.9046	0.9046	0.9046
41	09:18:57	1	0.5000	0.4991896088411162	0.9226	0.9226	0.9226	0.9226	0.8606904745101929	0.7877	0.7877	0.7877	0.7877	0.26657602190971375	0.9197	0.9197	0.9197	0.9197
