| end of split   2 /  3 | epoch  19 | time:  2.33s | valid loss  1.81 | valid ppl     6.12 | learning rate 5.0000
| end of split   3 /  3 | epoch  19 | time:  2.29s | valid loss  1.80 | valid ppl     6.04 | learning rate 5.0000
| end of split   1 /  3 | epoch  20 | time:  2.42s | valid loss  1.85 | valid ppl     6.34 | learning rate 5.0000
| end of split   2 /  3 | epoch  20 | time:  2.17s | valid loss  1.82 | valid ppl     6.16 | learning rate 5.0000
| end of split   3 /  3 | epoch  20 | time:  2.34s | valid loss  1.80 | valid ppl     6.03 | learning rate 5.0000
| end of split   1 /  3 | epoch  21 | time:  2.29s | valid loss  1.81 | valid ppl     6.13 | learning rate 5.0000
| end of split   2 /  3 | epoch  21 | time:  2.18s | valid loss  1.81 | valid ppl     6.14 | learning rate 5.0000
| end of split   3 /  3 | epoch  21 | time:  2.36s | valid loss  1.87 | valid ppl     6.48 | learning rate 5.0000
| end of split   1 /  3 | epoch  22 | time:  2.13s | valid loss  1.84 | valid ppl     6.30 | learning rate 5.0000
| end of split   2 /  3 | epoch  22 | time:  2.29s | valid loss  1.82 | valid ppl     6.19 | learning rate 1.2500
| end of split   3 /  3 | epoch  22 | time:  2.41s | valid loss  1.84 | valid ppl     6.30 | learning rate 1.2500
| end of split   1 /  3 | epoch  23 | time:  2.29s | valid loss  1.82 | valid ppl     6.19 | learning rate 1.2500
| end of split   2 /  3 | epoch  23 | time:  2.18s | valid loss  1.82 | valid ppl     6.15 | learning rate 1.2500
| end of split   3 /  3 | epoch  23 | time:  2.46s | valid loss  1.84 | valid ppl     6.29 | learning rate 1.2500
| end of split   1 /  3 | epoch  24 | time:  2.38s | valid loss  1.82 | valid ppl     6.16 | learning rate 1.2500
| end of split   2 /  3 | epoch  24 | time:  2.42s | valid loss  1.84 | valid ppl     6.29 | learning rate 1.2500
| end of split   3 /  3 | epoch  24 | time:  2.21s | valid loss  1.83 | valid ppl     6.25 | learning rate 1.2500
| end of split   1 /  3 | epoch  25 | time:  2.22s | valid loss  1.83 | valid ppl     6.26 | learning rate 1.2500
| end of split   2 /  3 | epoch  25 | time:  2.36s | valid loss  1.85 | valid ppl     6.36 | learning rate 1.2500
| end of split   3 /  3 | epoch  25 | time:  2.33s | valid loss  1.83 | valid ppl     6.23 | learning rate 1.2500
| end of split   1 /  3 | epoch  26 | time:  2.13s | valid loss  1.83 | valid ppl     6.22 | learning rate 0.3125
| end of split   2 /  3 | epoch  26 | time:  2.21s | valid loss  1.83 | valid ppl     6.22 | learning rate 0.3125
| end of split   3 /  3 | epoch  26 | time:  2.27s | valid loss  1.83 | valid ppl     6.24 | learning rate 0.3125
| end of split   1 /  3 | epoch  27 | time:  2.08s | valid loss  1.83 | valid ppl     6.23 | learning rate 0.3125
| end of split   2 /  3 | epoch  27 | time:  2.30s | valid loss  1.84 | valid ppl     6.27 | learning rate 0.3125
| end of split   3 /  3 | epoch  27 | time:  2.17s | valid loss  1.83 | valid ppl     6.24 | learning rate 0.3125
| end of split   1 /  3 | epoch  28 | time:  2.03s | valid loss  1.83 | valid ppl     6.23 | learning rate 0.3125
| end of split   2 /  3 | epoch  28 | time:  2.10s | valid loss  1.83 | valid ppl     6.22 | learning rate 0.3125
| end of split   3 /  3 | epoch  28 | time:  2.16s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.3125
