| end of split   1 /  1 | epoch   5 | time:  0.77s | valid loss  2.98 | valid ppl    19.59 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  0.68s | valid loss  2.98 | valid ppl    19.69 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  0.68s | valid loss  2.97 | valid ppl    19.56 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  0.67s | valid loss  2.97 | valid ppl    19.50 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  0.65s | valid loss  2.96 | valid ppl    19.31 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  0.56s | valid loss  2.94 | valid ppl    18.91 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  0.44s | valid loss  2.91 | valid ppl    18.38 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  0.50s | valid loss  2.86 | valid ppl    17.52 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  0.57s | valid loss  2.78 | valid ppl    16.12 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  0.52s | valid loss  2.68 | valid ppl    14.56 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  0.57s | valid loss  2.58 | valid ppl    13.16 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  0.46s | valid loss  2.50 | valid ppl    12.20 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  0.87s | valid loss  2.44 | valid ppl    11.49 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  0.48s | valid loss  2.39 | valid ppl    10.91 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  0.44s | valid loss  2.35 | valid ppl    10.52 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  0.60s | valid loss  2.31 | valid ppl    10.10 | learning rate 1.0000
| end of split   1 /  1 | epoch  21 | time:  0.50s | valid loss  2.28 | valid ppl     9.74 | learning rate 1.0000
| end of split   1 /  1 | epoch  22 | time:  0.44s | valid loss  2.24 | valid ppl     9.42 | learning rate 1.0000
| end of split   1 /  1 | epoch  23 | time:  0.45s | valid loss  2.22 | valid ppl     9.18 | learning rate 1.0000
| end of split   1 /  1 | epoch  24 | time:  0.44s | valid loss  2.19 | valid ppl     8.96 | learning rate 1.0000
| end of split   1 /  1 | epoch  25 | time:  0.45s | valid loss  2.18 | valid ppl     8.89 | learning rate 1.0000
| end of split   1 /  1 | epoch  26 | time:  0.44s | valid loss  2.16 | valid ppl     8.65 | learning rate 1.0000
| end of split   1 /  1 | epoch  27 | time:  0.54s | valid loss  2.14 | valid ppl     8.52 | learning rate 1.0000
| end of split   1 /  1 | epoch  28 | time:  0.53s | valid loss  2.13 | valid ppl     8.43 | learning rate 1.0000
| end of split   1 /  1 | epoch  29 | time:  0.45s | valid loss  2.11 | valid ppl     8.29 | learning rate 1.0000
| end of split   1 /  1 | epoch  30 | time:  0.44s | valid loss  2.09 | valid ppl     8.13 | learning rate 1.0000
| end of split   1 /  1 | epoch  31 | time:  0.47s | valid loss  2.09 | valid ppl     8.08 | learning rate 1.0000
| end of split   1 /  1 | epoch  32 | time:  0.45s | valid loss  2.08 | valid ppl     7.97 | learning rate 1.0000
| end of split   1 /  1 | epoch  33 | time:  0.45s | valid loss  2.06 | valid ppl     7.87 | learning rate 1.0000
| end of split   1 /  1 | epoch  34 | time:  0.47s | valid loss  2.04 | valid ppl     7.73 | learning rate 1.0000
| end of split   1 /  1 | epoch  35 | time:  0.45s | valid loss  2.04 | valid ppl     7.68 | learning rate 1.0000
| end of split   1 /  1 | epoch  36 | time:  0.45s | valid loss  2.04 | valid ppl     7.72 | learning rate 1.0000
| end of split   1 /  1 | epoch  37 | time:  0.48s | valid loss  2.02 | valid ppl     7.56 | learning rate 1.0000
| end of split   1 /  1 | epoch  38 | time:  0.45s | valid loss  2.01 | valid ppl     7.47 | learning rate 1.0000
| end of split   1 /  1 | epoch  39 | time:  0.44s | valid loss  2.01 | valid ppl     7.43 | learning rate 1.0000
| end of split   1 /  1 | epoch  40 | time:  0.45s | valid loss  2.00 | valid ppl     7.40 | learning rate 1.0000
| end of split   1 /  1 | epoch  41 | time:  0.53s | valid loss  1.98 | valid ppl     7.25 | learning rate 1.0000
| end of split   1 /  1 | epoch  42 | time:  0.46s | valid loss  1.98 | valid ppl     7.24 | learning rate 1.0000
| end of split   1 /  1 | epoch  43 | time:  0.46s | valid loss  1.96 | valid ppl     7.13 | learning rate 1.0000
TEST: valid loss  2.03 | valid ppl     7.61
