EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	22:56:56	0	0.1000	0.39319701029010656
2	00:13:09	0	0.1000	0.32866404915357195
3	01:29:09	0	0.1000	0.2929501168517507
4	02:45:08	0	0.1000	0.2762214008055822
5	04:01:01	0	0.1000	0.26518957174392616
6	05:16:40	0	0.1000	0.2576457219821329
7	06:32:23	0	0.1000	0.2514070902609975
8	07:48:34	0	0.1000	0.24629233820491972
