TEST: valid loss  4.42 | valid ppl    83.20
TEST: valid loss  3.33 | valid ppl    27.83
| end of split   1 /  1 | epoch  24 | time:  0.53s | valid loss  2.05 | valid ppl     7.74 | learning rate 5.0000
| end of split   1 /  1 | epoch  25 | time:  0.58s | valid loss  2.05 | valid ppl     7.75 | learning rate 5.0000
| end of split   1 /  1 | epoch  26 | time:  0.52s | valid loss  2.07 | valid ppl     7.93 | learning rate 5.0000
| end of split   1 /  1 | epoch  27 | time:  0.53s | valid loss  2.11 | valid ppl     8.29 | learning rate 5.0000
| end of split   1 /  1 | epoch  28 | time:  0.52s | valid loss  2.11 | valid ppl     8.29 | learning rate 5.0000
| end of split   1 /  1 | epoch  29 | time:  0.57s | valid loss  2.11 | valid ppl     8.28 | learning rate 5.0000
| end of split   1 /  1 | epoch  30 | time:  0.56s | valid loss  2.11 | valid ppl     8.27 | learning rate 5.0000
| end of split   1 /  1 | epoch  31 | time:  0.58s | valid loss  2.12 | valid ppl     8.35 | learning rate 5.0000
| end of split   1 /  1 | epoch  32 | time:  0.52s | valid loss  2.12 | valid ppl     8.31 | learning rate 5.0000
| end of split   1 /  1 | epoch  33 | time:  0.55s | valid loss  2.12 | valid ppl     8.37 | learning rate 1.2500
| end of split   1 /  1 | epoch  34 | time:  0.53s | valid loss  2.13 | valid ppl     8.40 | learning rate 1.2500
| end of split   1 /  1 | epoch  35 | time:  0.53s | valid loss  2.13 | valid ppl     8.39 | learning rate 1.2500
| end of split   1 /  1 | epoch  36 | time:  0.55s | valid loss  2.13 | valid ppl     8.43 | learning rate 1.2500
| end of split   1 /  1 | epoch  37 | time:  0.54s | valid loss  2.13 | valid ppl     8.42 | learning rate 1.2500
| end of split   1 /  1 | epoch  38 | time:  0.53s | valid loss  2.13 | valid ppl     8.45 | learning rate 1.2500
| end of split   1 /  1 | epoch  39 | time:  0.52s | valid loss  2.14 | valid ppl     8.50 | learning rate 1.2500
| end of split   1 /  1 | epoch  40 | time:  0.56s | valid loss  2.14 | valid ppl     8.53 | learning rate 1.2500
| end of split   1 /  1 | epoch  41 | time:  0.57s | valid loss  2.15 | valid ppl     8.55 | learning rate 1.2500
| end of split   1 /  1 | epoch  42 | time:  0.57s | valid loss  2.15 | valid ppl     8.60 | learning rate 1.2500
| end of split   1 /  1 | epoch  43 | time:  0.55s | valid loss  2.15 | valid ppl     8.60 | learning rate 1.2500
| end of split   1 /  1 | epoch  44 | time:  0.58s | valid loss  2.15 | valid ppl     8.61 | learning rate 0.3125
